collision_datetime,latitude,longitude,record_count
2013-07-24,,,2
2013-07-25,,,2
2013-07-27,,,6
2013-07-28,,,3
2013-08-03,,,2
2013-08-05,,,2
2013-08-07,,,3
2013-08-08,,,3
2013-08-09,,,3
2013-08-10,,,2
2013-08-12,,,3
2013-08-13,,,2
2013-08-17,,,5
2013-08-19,,,7
2013-08-23,,,5
2013-08-26,,,2
2013-08-28,,,2
2013-09-03,,,3
2013-09-07,,,2
2013-09-11,,,2
2013-09-13,,,3
2013-09-14,,,2
2013-09-16,,,2
2013-09-18,,,2
2013-09-26,,,2
2013-09-27,,,2
2013-09-30,,,8
2013-10-02,,,3
2013-10-03,,,2
2013-10-07,,,5
2013-10-09,,,2
2013-10-10,,,2
2013-10-11,,,3
2013-10-15,,,3
2013-10-16,,,4
2013-10-20,,,4
2013-10-21,,,2
2013-10-22,,,2
2013-10-30,,,3
2013-11-01,,,4
2013-11-03,,,6
2013-11-07,,,4
2013-11-08,,,2
2013-11-13,,,1
2013-11-17,,,2
2013-11-20,,,2
2013-11-22,,,2
2013-11-23,,,2
2013-11-29,,,1
2013-11-30,,,1
2013-12-02,,,3
2013-12-03,,,4
2013-12-07,,,2
2013-12-11,,,2
2013-12-28,,,3
2014-01-14,,,1
2014-01-30,,,3
2014-02-07,,,3
2014-02-08,,,6
2014-02-12,,,2
2014-02-15,,,4
2014-02-19,,,2
2014-02-22,,,2
2014-03-06,,,1
2014-03-07,,,6
2014-03-09,,,2
2014-03-11,,,1
2014-03-17,,,2
2014-03-19,,,4
2014-03-21,,,1
2014-03-26,,,2
2014-03-29,,,4
2014-04-03,,,2
2014-04-14,,,5
2014-04-16,,,2
2014-04-18,,,1
2014-04-25,,,2
2014-05-05,,,5
2014-05-09,,,2
2014-05-10,,,4
2014-05-12,,,5
2014-05-15,,,5
2014-05-21,,,6
2014-05-24,,,2
2014-05-27,,,2
2014-05-28,,,2
2014-05-29,,,2
2014-06-01,,,2
2014-06-06,,,1
2014-06-07,,,4
2014-06-16,,,1
2014-06-17,,,2
2014-06-28,,,3
2014-07-02,,,1
2014-07-08,,,2
2014-07-10,,,2
2014-07-14,,,1
2014-07-28,,,2
2014-08-01,,,1
2014-08-07,,,1
2014-08-09,,,2
2014-08-16,,,2
2014-08-17,,,18
2014-08-18,,,3
2014-08-22,,,2
2014-08-29,,,2
2014-08-30,,,8
2014-08-31,,,2
2014-09-01,,,2
2014-09-10,,,2
2014-09-11,,,2
2014-09-14,,,2
2014-09-16,,,1
2014-09-21,,,2
2014-09-25,,,2
2014-09-26,,,2
2014-10-02,,,7
2014-10-07,,,2
2014-10-16,,,2
2014-11-04,,,1
2014-11-09,,,10
2014-11-14,,,2
2014-11-21,,,2
2014-11-22,,,6
2014-11-24,,,1
2014-12-07,,,7
2014-12-12,,,2
2014-12-14,,,2
2014-12-15,,,2
2014-12-18,,,5
2014-12-24,,,2
2014-12-29,,,2
2015-01-01,,,3
2015-01-02,,,2
2015-01-05,,,3
2015-01-11,,,3
2015-01-23,,,5
2015-01-25,,,2
2015-01-26,,,2
2015-01-28,,,2
2015-02-07,,,2
2015-02-09,,,3
2015-02-14,,,2
2015-02-16,,,2
2015-02-18,,,2
2015-02-21,,,2
2015-03-10,,,5
2015-03-20,,,2
2015-03-30,,,1
2015-04-03,,,13
2015-04-07,,,2
2015-04-10,,,3
2015-04-14,,,2
2015-04-15,,,2
2015-04-22,,,1
2015-04-23,,,2
2015-04-27,,,4
2015-04-29,,,2
2015-05-07,,,4
2015-05-12,,,2
2015-05-16,,,8
2015-05-19,,,2
2015-05-20,,,2
2015-05-22,,,4
2015-05-30,,,2
2015-05-31,,,2
2015-06-03,,,3
2015-06-04,,,2
2015-06-09,,,4
2015-06-11,,,2
2015-06-12,,,4
2015-06-13,,,1
2015-06-16,,,4
2015-06-17,,,4
2015-06-20,,,2
2015-06-26,,,2
2015-06-30,,,2
2015-07-01,,,3
2015-07-06,,,3
2015-07-15,,,2
2015-07-17,,,2
2015-07-21,,,2
2015-08-01,,,3
2015-08-09,,,8
2015-08-11,,,2
2015-08-16,,,5
2015-08-20,,,2
2015-08-22,,,2
2015-08-23,,,2
2015-09-03,,,2
2015-09-05,,,3
2015-09-07,,,3
2015-09-18,,,2
2015-09-24,,,3
2015-09-26,,,2
2015-09-27,,,2
2015-09-30,,,2
2015-10-03,,,2
2015-10-04,,,2
2015-10-06,,,8
2015-10-09,,,7
2015-10-14,,,2
2015-10-18,,,1
2015-10-19,,,2
2015-10-20,,,4
2015-10-22,,,2
2015-10-28,,,2
2015-11-01,,,4
2015-11-06,,,2
2015-11-08,,,2
2015-11-10,,,2
2015-11-14,,,1
2015-11-16,,,3
2015-11-19,,,4
2015-11-21,,,2
2015-11-24,,,2
2015-11-26,,,2
2015-11-27,,,4
2015-12-04,,,3
2015-12-06,,,2
2015-12-07,,,2
2015-12-12,,,2
2015-12-20,,,2
2015-12-22,,,2
2015-12-24,,,2
2015-12-25,,,2
2016-01-05,,,2
2016-01-08,,,1
2016-01-09,,,1
2016-01-12,,,3
2016-01-16,,,2
2016-01-23,,,12
2016-01-24,,,1
2016-01-28,,,2
2016-01-31,,,3
2016-02-01,,,2
2016-02-06,,,3
2016-02-10,,,2
2016-02-21,,,3
2016-02-25,,,2
2016-03-13,,,3
2016-03-14,,,5
2016-03-20,,,16
2016-03-24,,,2
2016-03-29,,,2
2016-03-31,,,3
2016-04-06,,,3
2016-04-08,,,2
2016-04-10,,,6
2016-04-14,,,3
2016-04-23,,,2
2016-05-03,,,6
2016-05-06,,,6
2016-05-07,,,2
2016-05-10,,,2
2016-05-15,,,2
2016-05-17,,,3
2016-05-18,,,7
2016-05-25,,,3
2016-06-01,,,8
2016-06-09,,,2
2016-06-15,,,2
2016-06-17,,,4
2016-06-19,,,7
2016-06-20,,,2
2016-06-22,,,4
2016-06-24,,,1
2016-07-01,,,1
2016-07-02,,,2
2016-07-07,,,2
2016-07-09,,,3
2016-07-11,,,5
2016-07-12,,,2
2016-07-15,,,2
2016-07-22,,,2
2016-07-26,,,2
2016-08-01,,,6
2016-08-10,,,2
2016-08-14,,,4
2016-08-16,,,2
2016-08-19,,,3
2016-08-21,,,1
2016-08-26,,,4
2016-08-29,,,2
2016-08-30,,,4
2016-09-05,,,7
2016-09-07,,,2
2016-09-08,,,3
2016-09-09,,,1
2016-09-11,,,3
2016-09-22,,,2
2016-09-24,,,3
2016-09-26,,,4
2016-09-27,,,2
2016-09-30,,,3
2016-10-01,,,2
2016-10-05,,,3
2016-10-19,,,2
2016-10-20,,,4
2016-10-27,,,2
2016-10-30,,,1
2016-10-31,,,1
2016-11-03,,,2
2016-11-05,,,4
2016-11-07,,,7
2016-11-14,,,2
2016-11-18,,,2
2016-11-22,,,3
2016-11-25,,,6
2016-11-28,,,2
2016-11-29,,,3
2016-12-02,,,2
2016-12-03,,,2
2016-12-04,,,3
2016-12-06,,,2
2016-12-09,,,1
2016-12-21,,,4
2016-12-24,,,1
2016-12-25,,,2
2016-12-27,,,2
2017-01-03,,,9
2017-01-07,,,3
2017-01-19,,,2
2017-01-20,,,2
2017-01-21,,,1
2017-01-29,,,5
2017-02-02,,,2
2017-02-05,,,1
2017-02-12,,,3
2017-02-18,,,7
2017-02-24,,,2
2017-02-26,,,5
2017-03-08,,,1
2017-03-10,,,6
2017-03-19,,,3
2017-03-21,,,4
2017-03-23,,,2
2017-03-26,,,2
2017-03-27,,,2
2017-03-28,,,2
2017-03-30,,,3
2017-04-01,,,2
2017-04-02,,,3
2017-04-04,,,4
2017-04-13,,,2
2017-04-21,,,1
2017-04-29,,,6
2017-05-02,,,2
2017-05-03,,,2
2017-05-05,,,1
2017-05-07,,,7
2017-05-10,,,2
2017-05-17,,,2
2017-05-23,,,3
2017-05-27,,,3
2017-05-31,,,6
2017-06-03,,,2
2017-06-06,,,1
2017-06-07,,,4
2017-06-09,,,1
2017-06-11,,,1
2017-06-13,,,5
2017-06-16,,,3
2017-06-29,,,2
2017-07-01,,,3
2017-07-06,,,2
2017-07-18,,,5
2017-07-20,,,2
2017-07-23,,,1
2017-07-26,,,2
2017-07-30,,,2
2017-07-31,,,7
2017-08-02,,,2
2017-08-05,,,2
2017-08-08,,,4
2017-08-09,,,3
2017-08-13,,,2
2017-08-14,,,3
2017-08-15,,,2
2017-08-21,,,2
2017-08-28,,,6
2017-08-30,,,3
2017-09-05,,,2
2017-09-12,,,2
2017-09-13,,,2
2017-09-15,,,4
2017-09-23,,,7
2017-09-24,,,3
2017-10-02,,,2
2017-10-04,,,2
2017-10-05,,,3
2017-10-18,,,3
2017-10-21,,,2
2017-10-22,,,2
2017-10-23,,,5
2017-11-02,,,2
2017-11-03,,,4
2017-11-10,,,6
2017-11-12,,,2
2017-11-19,,,5
2017-11-24,,,3
2017-11-26,,,4
2017-11-28,,,4
2017-12-05,,,3
2017-12-07,,,4
2017-12-11,,,2
2017-12-15,,,2
2017-12-17,,,1
2017-12-19,,,2
2018-01-01,,,8
2018-01-11,,,2
2018-01-24,,,2
2018-01-27,,,2
2018-01-28,,,2
2018-02-02,,,2
2018-02-03,,,2
2018-02-06,,,2
2018-02-08,,,7
2018-02-10,,,2
2018-02-13,,,3
2018-02-19,,,4
2018-02-23,,,5
2018-02-24,,,2
2018-02-26,,,2
2018-03-02,,,5
2018-03-05,,,4
2018-03-15,,,2
2018-03-16,,,2
2018-03-21,,,6
2018-04-21,,,6
2018-04-23,,,5
2018-04-26,,,5
2018-05-05,,,3
2018-05-10,,,2
2018-05-11,,,2
2018-05-15,,,2
2018-05-16,,,4
2018-05-29,,,2
2018-05-30,,,2
2018-05-31,,,2
2018-06-14,,,6
2018-06-18,,,2
2018-06-20,,,4
2018-06-23,,,10
2018-06-27,,,2
2018-06-29,,,4
2018-07-05,,,4
2018-07-13,,,2
2018-07-18,,,2
2018-07-19,,,2
2018-07-21,,,1
2018-07-25,,,1
2018-07-26,,,2
2018-07-29,,,2
2018-07-31,,,2
2018-08-06,,,2
2018-08-07,,,2
2018-08-08,,,4
2018-08-09,,,3
2018-08-12,,,3
2018-08-18,,,3
2018-08-19,,,6
2018-08-21,,,2
2018-08-23,,,2
2018-08-29,,,2
2018-08-31,,,4
2018-09-01,,,2
2018-09-07,,,3
2018-09-09,,,2
2018-09-15,,,8
2018-09-16,,,7
2018-09-26,,,6
2018-09-28,,,2
2018-09-29,,,2
2018-09-30,,,2
2018-10-01,,,4
2018-10-04,,,2
2018-10-06,,,4
2018-10-07,,,3
2018-10-08,,,2
2018-10-10,,,2
2018-10-13,,,2
2018-10-18,,,2
2018-10-19,,,2
2018-10-22,,,3
2018-10-29,,,2
2018-10-31,,,4
2018-11-05,,,2
2018-11-09,,,4
